,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
173,4755517,1544706,Entire home/apt,Busan,Saha,4,4.5,16,4.0,2.0,567.0,1.0,35.071284,129.017913,2016-10-28 22:38:38.731730
174,4769333,24604411,Entire home/apt,Busan,Suyeong,12,5.0,10,2.0,1.0,90.0,1.0,35.153872,129.113813,2016-10-28 23:03:14.410348
175,4817672,24808001,Entire home/apt,Busan,Haeundae,29,4.5,8,2.0,2.0,135.0,2.0,35.154998,129.180572,2016-10-28 23:47:43.339198
176,4827377,24854669,Entire home/apt,Busan,Suyeong,2,,6,3.0,2.0,180.0,1.0,35.146728,129.114095,2016-10-29 00:29:42.463505
177,4833575,1544706,Entire home/apt,Busan,Saha,1,,10,4.0,2.0,567.0,1.0,35.070334,129.015518,2016-10-28 23:12:19.526740
178,4833793,23055239,Private room,Busan,Dong,10,4.5,2,1.0,1.0,55.0,1.0,35.118526,129.041709,2016-10-29 00:24:27.579166
179,4833868,23055239,Private room,Busan,Dong,3,4.5,3,1.0,1.0,72.0,1.0,35.120044,129.040928,2016-10-29 00:33:53.892508
180,4871207,25058369,Private room,Busan,Dongnae,0,,2,1.0,,72.0,1.0,35.205953,129.07785,2016-10-28 23:10:45.081138
181,4871255,25058369,Private room,Busan,Dongnae,0,,1,1.0,,63.0,1.0,35.208901,129.084154,2016-10-28 23:47:45.392342
182,4871682,25060510,Shared room,Busan,Suyeong,2,,6,1.0,2.0,15.0,1.0,35.162411,129.117844,2016-10-29 00:49:34.310484
